conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1848507980515578356,Mon Oct 21 23:33:40 +0000 2024,77,Yuuk... menjadi bagian perjuangan 03 Pramono Anung-Rano Karno Impian Si Doel menghidupkan lagi kebudayaan Betawi moga-moga bisa terwujud. Aamin @pramonoanung #JakartaMenyala #PrakarUntukJakarta https://t.co/15S764kbD2,1848507980515578356,https://pbs.twimg.com/ext_tw_video_thumb/1848507892519079936/pu/img/m5BQZ_iHBIlRZtpZ.jpg,,in,Selakartika,0,2,44,https://x.com/denni_sauya/status/1848507980515578356,1249352392954368001,denni_sauya,yuuk juang pramono anungrano karno impi si doel hidup budaya betawi mogamoga wujud aamin pramonoanung jakartamenyala prakaruntukjakarta
1854462873990488237,Thu Nov 07 09:56:18 +0000 2024,18,Calon Gubernur Jakarta Pramono Anung berencana untuk meneruskan yang sudah dilakukan oleh para pemimpin Jakarta sebelumnya. Beberapa kali ia menyebut bahwa akan meneruskan apa yang baik dan sudah berjalan dari Gubernur Fauzi Bowo hingga Anies Baswedan. Legacy saya adalah https://t.co/OMcrXBJicz,1854462873990488237,https://pbs.twimg.com/media/GbxgJxoagAAjPlT.jpg,,in,Jakarta Capital Region,0,1,1,https://x.com/asumsico/status/1854462873990488237,829366551446818816,asumsico,calon gubernur jakarta pramono anung rencana terus pimpin jakarta kali sebut terus jalan gubernur fauzi bowo anies baswedan legacy
1848987431783305663,Wed Oct 23 07:18:50 +0000 2024,66,Breaking News Survei LSI (Lembaga Survei Indonesia) terbaru Pramono Anung -Doel: 41 6% RK-Suswono: 37 4% Dharma-Kun: 6 6% Belum memutuskan: 14 4% Pramono Anung Doel terbaik PramDoel #MenyalaM3nang https://t.co/ojniYWN7nZ,1848987431783305663,https://pbs.twimg.com/media/GajsRVzbEAEP1cQ.jpg,,in,PLUIT,3,14,35,https://x.com/KangManto123/status/1848987431783305663,947632364003368961,KangManto123,breaking news survei lsi lembaga survei indonesia baru pramono anung doel rksuswono dharmakun putus pramono anung doel baik pramdoel menyalamnang
1867772790096769173,Sat Dec 14 03:25:09 +0000 2024,30,3 Kampung Bakal Paling Awal Dikunjungi Pramono Anung Usai Resmi Jadi Gubernur Jakarta . https://t.co/s0bEltHhD0,1867772790096769173,https://pbs.twimg.com/ext_tw_video_thumb/1867772736254468096/pu/img/vvihC3Z4-uOcP9M9.jpg,,in,lokalisasi kelas teri,0,0,7,https://x.com/triwul82/status/1867772790096769173,2695463725,triwul82,kampung kunjung pramono anung resmi gubernur jakarta
1851430580585669014,Wed Oct 30 01:07:02 +0000 2024,28,Calon Gubernur DKI Jakarta Mas Pramono Anung melakukan rangkaian silaturahmi dengan tokoh-tokoh agama di Jakarta untuk mendalami harapan dan kebutuhan umat kali ini Beliau silaturahmi ke kediaman KH M. Lutfi Zawawi Ketua Umum Forum Ulama dan Habaib (FUHAB) di Kebayoran Lama https://t.co/uv1IWjvkM4,1851430580585669014,https://pbs.twimg.com/media/GbGaS-EbQAIPUxq.jpg,,in,DIHATIMU,0,1,13,https://x.com/Cintada16/status/1851430580585669014,1279643013455605760,Cintada16,calon gubernur dki jakarta mas pramono anung rangkai silaturahmi tokohtokoh agama jakarta dalam harap butuh umat kali beliau silaturahmi diam kh m lutfi zawawi ketua forum ulama habaib fuhab kebayoran
1851868495631519874,Thu Oct 31 06:07:10 +0000 2024,0,Pramono Anung Klaim Didukung Banyak Partai: Saya Calon Gubernur Semua Kelompok https://t.co/B0IvcQsEJm #TempoNasional,1851868495631519874,,,in,Indonesia,0,0,0,https://x.com/tempodotco/status/1851868495631519874,18129942,tempodotco,pramono anung klaim dukung partai calon gubernur kelompok temponasional
1850705865495515331,Mon Oct 28 01:07:17 +0000 2024,0,Pasangan calon Gubernur dan Wakil Gubernur Jakarta Nomor3 Pramono Anung-Rano Karno berencana mengguyur bantuan modal Rp 300 miliar untuk pedagang Tanah Abang. https://t.co/ms9w6jpAb3,1850705865495515331,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/detikfinance/status/1850705865495515331,135795460,detikfinance,pasang calon gubernur wakil gubernur jakarta nomor pramono anungrano karno rencana guyur bantu modal rp miliar dagang tanah abang
1800765152985530383,Wed Jun 12 05:40:43 +0000 2024,0,Wakil Ketua Komisi II DPR RI Syamsurizal menyebutkan dalam Rapat Kerja dan Rapat Dengar Pendapat dengan Mensesneg Menseskab KSP dan BPIP salah satu poin yang menjadi pembahasan ialah terkait usulan tambahan anggaran tahun 2025 dari Menseskab Pramono Anung sebesar https://t.co/C6fQgKhmLd,1800765152985530383,https://pbs.twimg.com/media/GP2aW-1a4AAUOVZ.jpg,,in,,0,0,0,https://x.com/inilahdotcom/status/1800765152985530383,46693036,inilahdotcom,wakil ketua komisi ii dpr ri syamsurizal rapat kerja rapat dengar dapat mensesneg menseskab ksp bpip salah poin bahas kait usul tambah anggar menseskab pramono anung
1768169549449302471,Thu Mar 14 06:57:26 +0000 2024,549,Pramoedya Ananta Toer kita pasti familiar dengan karya-karyanya. Namun apakah kita tahu sikapnya mengenai hal-hal lain? Mengenai pembajakan buku Pram punya sikap yang keras. Bagaimana Pram menanggapi kasus ini? (Thread) https://t.co/lgFWhx0krC,1768169549449302471,https://pbs.twimg.com/media/GInJ4VebcAEwf7R.png,,in,📍Solusi Buku,6,2,334,https://x.com/solusibukucom/status/1768169549449302471,2585285035,solusibukucom,pramoedya ananta toer familiar karyakaryanya sikap halhal baja buku pram sikap keras pram tanggap thread
1853302092582330784,Mon Nov 04 05:03:46 +0000 2024,20,Cagub dan cawagub Jakarta Pramono-Rano menggelar kampanye akbar perdana di Velodrome Jakarta Timur. Di hadapan ribuan pendukung pasangan cagub dan cawagub nomor 3 ini menyebut ingin warga Jakarta riang gembira. #PramDoelPancenOye https://t.co/w0w8GgdG0w,1853302092582330784,https://pbs.twimg.com/ext_tw_video_thumb/1853302056905490432/pu/img/ZhL6BbGIRcPYpspQ.jpg,,in,lokalisasi kelas teri,0,3,8,https://x.com/triwul82/status/1853302092582330784,2695463725,triwul82,cagub cawagub jakarta pramonorano gelar kampanye akbar perdana velodrome jakarta timur hadap ribu dukung pasang cagub cawagub nomor sebut warga jakarta riang gembira pramdoelpancenoye
