conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1776689572698841419,Sat Apr 06 19:12:58 +0000 2024,16535,SISI GELAP KEMENANGAN FARHAN ALKATIRI SEBAGAI DPRD TERMUDA Selain ramainya isu soal Haein Ridwan Kamil BEM UI Part 2 &amp; Indah G. Bung madin ingin bongkar di balik kemenangan Farhan Alkatiri sbg Anggota DPRD. Gaya kampanye yg peduli kpd rakyat hanya kedok belaka. Ko bisa? . . https://t.co/yothdiHniB,1776689572698841419,https://pbs.twimg.com/media/GKgRvj1aIAAXAuZ.jpg,,in,,720,1534,2216,https://x.com/bung_madin/status/1776689572698841419,1632328794228011009,bung_madin,sisi gelap menang farhan alkatiri dprd muda ramai isu haein ridwan kamil bem ui part amp indah g madin bongkar menang farhan alkatiri sbg anggota dprd gaya kampanye yg peduli kpd rakyat kedok belaka ko
1832756509450928259,Sun Sep 08 12:22:57 +0000 2024,22289,#MenolakLupa tipu-tipu Ridwan Kamil Tahun 2017 RK mengundang warga Tamansari buat buka puasa di rumah dinas Walkot Bandung Warga diminta tanda tangan katanya buat tanda kehadiran. Ternyata malah diklaim sebagai persetujuan buat digusur demi proyek rumah deret https://t.co/AoDjEZNvTD,1832756509450928259,https://pbs.twimg.com/media/GW9CKJFasAAinZo.jpg,,in,,1555,573,10771,https://x.com/Mythicalforest/status/1832756509450928259,1206518264811020289,Mythicalforest,menolaklupa tiputipu ridwan kamil rk undang warga tamansari buka puasa rumah dinas walkot bandung warga tanda tangan tanda hadir klaim tuju gusur proyek rumah deret
1825454855026356527,Mon Aug 19 08:48:47 +0000 2024,2820,Bismillah. Ridwan Kamil - Suswono Untuk Jakarta Maju https://t.co/gzviMvcHpc,1825454855026356527,https://pbs.twimg.com/media/GVVRghbbQAAeBai.jpg,,in,"TB. Simatupang No. 82, Jakarta",7949,4843,489,https://x.com/PKSejahtera/status/1825454855026356527,22365191,PKSejahtera,bismillah ridwan kamil suswono jakarta maju
1828298967165345951,Tue Aug 27 05:10:16 +0000 2024,74787,Ridwan kamil Pramono Anung sama Anies Baswedan semuanya pernah ngetwit SUSU tapi.... temukanlah perbedaannya https://t.co/ArsjRBVJU4,1828298967165345951,https://pbs.twimg.com/media/GV9sNjGWsAA3nKL.jpg,,in,,2206,957,14529,https://x.com/0PSH8/status/1828298967165345951,1546827844369936384,0PSH8,ridwan kamil pramono anung anies baswedan ngetwit susu temu beda
1828722629009879220,Wed Aug 28 09:13:45 +0000 2024,1517,Hari ini Rabu 28 Agustus 2024 pasangan RIDO Ridwan Kamil - Suswono mendaftarkan diri ke KPUD Jakarta sebagai pasangan Calon Gubernur dan Wakil Gubernur Jakarta. https://t.co/Yjm4Ognf1t,1828722629009879220,https://pbs.twimg.com/media/GWDtiR6W4AEFAlR.jpg,,in,"TB. Simatupang No. 82, Jakarta",84,3948,723,https://x.com/PKSejahtera/status/1828722629009879220,22365191,PKSejahtera,rabu agustus pasang rido ridwan kamil suswono daftar kpud jakarta pasang calon gubernur wakil gubernur jakarta
1825540002920702362,Mon Aug 19 14:27:08 +0000 2024,996,Setelah dideklarasikan sore tadi. Inilah dia nama pasangan RIDO Ridwan Kamil - Suswono Untuk Jakarta Maju ! https://t.co/rbcduTO7Kq,1825540002920702362,https://pbs.twimg.com/media/GVWe8wXawAAprpz.jpg,,in,"TB. Simatupang No. 82, Jakarta",670,2199,186,https://x.com/PKSejahtera/status/1825540002920702362,22365191,PKSejahtera,deklarasi sore nama pasang rido ridwan kamil suswono jakarta maju
1829846024631763043,Sat Aug 31 11:37:43 +0000 2024,319,Pasangan Calon Gubernur dan Calon Wakil Gubernur Jakarta Ridwan Kamil-Suswono (RIDO) menjalani tes kesehatan di RSUD Tarakan Gambir Jakarta Pusat pada Sabtu 31 Agustus 2024. https://t.co/B8iNt7uLuJ,1829846024631763043,https://pbs.twimg.com/media/GWTrQTDW0AAPC1t.jpg,,in,"TB. Simatupang No. 82, Jakarta",13,304,42,https://x.com/PKSejahtera/status/1829846024631763043,22365191,PKSejahtera,pasang calon gubernur calon wakil gubernur jakarta ridwan kamilsuswono rido jalan tes sehat rsud tara gambir jakarta pusat sabtu agustus
1827706215889334273,Sun Aug 25 13:54:53 +0000 2024,22476,TWIT-TWIT LAMA Dulu 12-15 tahun yang lalu sebelum jadi pejabat publik saya memang aktif bermain Twitter (sekarang X). Sebagaimana nature-nya platform tersebut saya berekspresi secara bebas. Kadang penuh kritik pedas kadang nyindir sering juga nyinyir. Sering saya katakan di,1827706215889334273,,,in,R1DO Coblos Monasnya,8752,11024,2883,https://x.com/ridwankamil/status/1827706215889334273,80323736,ridwankamil,twittwit jabat publik aktif main twitter x naturenya platform ekspres bebas kadang penuh kritik pedas kadang nyindir nyinyir
1849418898312962146,Thu Oct 24 11:53:20 +0000 2024,199,Poltracking: Ridwan Kamil - Suswono Unggul 51 6% #RidoLebihUnggul https://t.co/fNo9QTvKbB,1849418898312962146,https://pbs.twimg.com/media/Gap0r2oacAAMfMV.jpg,,in,Jakarta Capital Region,194,124,78,https://x.com/PKSDKIJakarta/status/1849418898312962146,235105357,PKSDKIJakarta,poltracking ridwan kamil suswono unggul ridolebihunggul
1825454855026356527,Mon Aug 19 09:08:18 +0000 2024,732,Ingin mengenal Mas Suswono yang akan berpasangan dengan Ridwan Kamil di Pilkada Jakarta ? Ini dia https://t.co/8xcoHrtWfk,1825459765105054066,https://pbs.twimg.com/media/GVVV-YsbUAAztFe.jpg,PKSejahtera,in,"TB. Simatupang No. 82, Jakarta",201,1843,195,https://x.com/PKSejahtera/status/1825459765105054066,22365191,PKSejahtera,kenal mas suswono pasang ridwan kamil pilkada jakarta
